AA TLEIN TEIX'I,A TEIX'GI AAN TLEIN
A XEEGI DEIYI,A XEEGI DEIYI 
BANKS NII LUUTIKSM,BANKS NII LUUTIKSM
HAKAI LUXVBALIS,HAKAI LUXVBALIS
HENyEMDZI MEKOLA,HENyEMDzI MEKOLA
JAJI7EM,JAJI7EM
K'IYAN,K'IYAN
KOLII7,KOLII7
K'ZUZALT,K'ZUZALT
"LAU,WELNEW","LAU,WELNEW"
lEXEwEYEM,lEXEwEYEM
NE'AH',NE'AH'
NEGIl,NEGIl
NENIKEKH,NENEIKEKH
NLHAXTEN,NLHAXTEN
PALEMIN,PALEMIN
QUDES,QUDES
QWALIMAK,QWALIMAK
SGAAY TAW SIIWAAY K'ADJUU,SGAAY TAW SIIWAAY K'ADJUU
SIT' HEENI,SIT' HEENI
SWIWS,SWIWS
SXOTSAQEL,SXOTSAQE
T'AKU TEIX',T'AKU TEIX'
T'OOCH' AAYI,T'OOCH' AAYI
TSA-LATL,TSA-LATL
TSUTSWECW,TSUTSWECW
UGwIWA',UGwIWA'
WAWAl,WAWAl
WAWLEY,WAWAl
XAAT YADI AANI,XAAT YADI AANI
XwAKwEroNAXDEroMA,XwAKwE'NAXDE'MA
YAWU YAA,YAWU YAA
'NACINUXw,'NACINUXw 
